"filename","textType","year","tokens","adverbials_raw","modals_raw","connectives_raw","argumentativeMarkers_raw","subjectiveNegative_raw","subjectivePositive_raw","subjectiveMarkers_raw","morphComplexity","synComplexity","overallComplexity","adverbials","modals","connectives","argumentativeMarkers","subjectiveNegative","subjectivePositive","subjectiveMarkers"
"opinion2014.18552732.txt","opinion",2014,6184,6,31,75,112,1,2,3,-0.955725653936739,0.934656378889579,-3.21996092494246,0.970245795601552,5.01293661060802,12.1280724450194,18.111254851229,0.161707632600259,0.323415265200517,0.485122897800776
"opinion2014.18565795.txt","opinion",2014,4132,6,16,50,72,1,4,5,-0.953667556049143,0.935970907607219,-0.087632355877687,1.45208131655373,3.87221684414327,12.1006776379477,17.4249757986447,0.242013552758955,0.968054211035818,1.21006776379477
"opinion2014.18571329.txt","opinion",2014,4645,1,10,47,58,1,0,1,-0.953492744546516,0.934597208267103,-0.549965946498789,0.215285252960172,2.15285252960172,10.1184068891281,12.48654467169,0.215285252960172,0,0.215285252960172
"opinion2014.18571418.txt","opinion",2014,5896,2,8,78,88,1,1,2,-0.957586361820617,0.938761134305258,-2.2377690411241,0.33921302578019,1.35685210312076,13.2293080054274,14.9253731343284,0.169606512890095,0.169606512890095,0.33921302578019
"opinion2014.18583680.txt","opinion",2014,4101,5,14,46,65,0,1,1,-0.959329205054306,0.941985142769876,-2.04385411793233,1.21921482565228,3.41380151182638,11.216776396001,15.8497927334796,0,0.243842965130456,0.243842965130456
"opinion2014.18592925.txt","opinion",2014,5008,2,24,78,104,2,2,4,-0.956647146121962,0.938994572231464,-2.04768433470275,0.399361022364217,4.79233226837061,15.5750798722045,20.7667731629393,0.399361022364217,0.399361022364217,0.798722044728434
"opinion2014.18594937.txt","opinion",2014,4517,4,13,64,81,2,0,2,-0.955740229279892,0.939457318382105,-0.341519284334128,0.885543502324552,2.87801638255479,14.1686960371928,17.9322559220722,0.442771751162276,0,0.442771751162276
"opinion2014.18606842.txt","opinion",2014,5949,3,9,93,105,1,1,2,-0.953681211018832,0.93008300263484,-4.96025829157933,0.504286434694907,1.51285930408472,15.6328794755421,17.6500252143217,0.168095478231636,0.168095478231636,0.336190956463271
"opinion2014.18629579.txt","opinion",2014,4682,0,18,56,74,0,2,2,-0.958077795149164,0.939582145021344,-0.847909730988943,0,3.84451089278086,11.9607005553182,15.8052114480991,0,0.427167876975651,0.427167876975651
"opinion2014.18634399.txt","opinion",2014,4502,3,16,58,77,1,2,3,-0.958320970698296,0.93568017330202,-3.17386071478197,0.666370501999112,3.55397601066193,12.8831630386495,17.1035095513105,0.22212350066637,0.444247001332741,0.666370501999112
"opinion2014.18636097.txt","opinion",2014,4230,5,11,59,75,1,2,3,-0.958451045686053,0.938324815929928,-3.32077015831187,1.18203309692671,2.60047281323877,13.9479905437352,17.7304964539007,0.236406619385343,0.472813238770686,0.709219858156028
